rank	word	en	ru	ex1	ex2
240	հավանել	to like, to approve; to agree	нравиться, одобрять	Ես հավանեցի այդ ֆիլմը — Мне понравился тот фильм	Նա հավանեց իմ միտքը — Он одобрил мою идею
241	բազմաթիվ	numerous, many	многочисленный, многие	Նա բազմաթիվ գրքեր ունի — У него множество книг	
242	պետական	state; national; public	государственный; национальный; общественный	Նա պետական համալսարանում է սովորում — Он учится в государственном университете	Այսօր պետական տոն է — Сегодня государственный праздник
243	հիմնական	basic, fundamental	основной, фундаментальный	Սա հիմնական խնդիրն է — Это основная проблема	
244	ձև	form; shape; pattern	форма; вид; образец	Այս բառը երկու ձև ունի — У этого слова две формы	Դա լավ ձև չէ — Это плохой способ
245	կես	half	половина	Ժամը երեքն անց կես է — Сейчас половина четвёртого	Կես ժամ սպասեցի — Я ждал полчаса
246	չափ	measure, size	мера, размер	Ամեն ինչ չափ ունի — Всё имеет меру	Այս չափը ինձ հարմար է — Этот размер мне подходит
247	հինգ	five	пять	Նա հինգ երեխա ունի — У него пятеро детей	
248	եղբայր	brother	брат	Ես մեծ եղբայր ունեմ — У меня есть старший брат	
249	արա	hey, dude (voc.); do! (imp. of անել; մի՛ արա = don't)	эй, чувак; делай!	Արա, ի՞նչ ես անում — Эй, что ты делаешь?	Արագ արա — Делай быстрее
250	նշանակել	to mean	значить, обозначать	Ի՞նչ է նշանակում այս բառը — Что значит это слово?	Դա ոչինչ չի նշանակում — Это ничего не значит
251	վերջին	last, final	последний	Սա վերջին անգամն է — Это последний раз	Վերջին ժամանակներում շատ եմ աշխատում — В последнее время я много работаю
252	եղանակ	weather	погода	Այսօր լավ եղանակ է — Сегодня хорошая погода	Եղանակը փոխվեց — Погода изменилась
253	այսպիսի	such; such a; of this kind; like this	такой, подобный	Այսպիսի բան չէի տեսել — Такого я не видел	
254	գիշեր	night	ночь	Բարի գիշեր — Спокойной ночи	Ամբողջ գիշերը չեմ քնել — Я не спал всю ночь
255	աշխատանք	work, labor	работа, труд	Նոր աշխատանք եմ գտել — Я нашёл новую работу	Աշխատանքից հետո տուն եմ գնում — После работы я иду домой
256	այդպես	thus, like that	так, вот так	Այդպես մի ասա — Не говори так	Այդպես էլ եղավ — Так и случилось
257	նպատակ	aim	цель	Նա հստակ նպատակ ունի — У него ясная цель	
258	բարբառ	dialect	диалект	Նա բարբառով է խոսում — Он говорит на диалекте	
259	մասնագիտական	professional	профессиональный	Մասնագիտական փորձ ունե՞ս — У тебя есть профессиональный опыт?	
260	անգլերեն	English	английский	Անգլերեն խոսու՞մ ես — Ты говоришь по-английски?	Անգլերեն եմ սովորում — Я учу английский
261	հասկանալ	understand	понимать	Ես քեզ հասկանում եմ — Я тебя понимаю	Ոչինչ չհասկացա — Я ничего не понял
262	դժվար	hard, difficult, challenging	трудный, тяжёлый	Սա դժվար հարց է — Это трудный вопрос	Ինձ համար դա դժվար է — Для меня это трудно
263	հոգնել	to get tired	уставать	Ես շատ եմ հոգնել — Я очень устал	Սպասելուց հոգնեցի — Я устал ждать
264	հիվանդ	sick, ill, diseased	больной	Երեխան հիվանդ է — Ребёнок болен	Նա ծանր հիվանդ է — Он тяжело болен
265	դեր	role	роль	Նա գլխավոր դերն է խաղում — Он играет главную роль	Կրթությունը մեծ դեր է խաղում — Образование играет большую роль
